start_year,end_year,code,label,city,state,notes,review_flag
1980,2026,1940,Sig's Funeral Services,Bellingham,WA,,FALSE
1980,2026,1942,Safe Harbor Funeral Service,Blaine,WA,,FALSE
1980,2026,1947,Simple Cremation - Seattle,Seattle,WA,,FALSE
1980,2026,1948,Simple Cremation - Spokane,Spokane,WA,,FALSE
1980,2026,1949,Simple Cremation - Olympia,Olympia ,WA,,FALSE
1980,2026,1950,Simple Cremation - Tacoma,Tacoma,WA,,FALSE
1980,2026,1951,Sunrise Funeral Home,Mossyrock,WA,,FALSE
1980,2026,2001,Chapel of the Valley,East Wenatchee,WA,,FALSE
1980,2026,2003,Thornhill Valley Chapel,Spokane Valley,WA,,FALSE
1980,2026,2005,The Stone Chapel at Poulsbo Mortuary,Poulsbo,WA,,FALSE
1980,2026,2008,Tuell-Mckee Funeral Home,Tacoma,WA,,FALSE
1980,2026,2009,Tuell-Mckee Funeral Home,Bremerton,WA,,FALSE
1980,2026,2013,Tacoma Mausoleum & Mortuary,Tacoma,WA,,FALSE
1980,2026,2102,Universal Funeral Home,Tacoma,WA,,FALSE
1980,2026,2201,Valley Hills Funeral Home of Zillah,Zillah,WA,,FALSE
1980,2026,2203,Vancouver Funeral Chapel,Vancouver,WA,,FALSE
1980,2026,2205,Valley Hills Funeral Home of Sunnyside,Sunnyside,WA,,FALSE
1980,2026,2301,Ward's Funeral Chapel,Leavenworth,WA,,FALSE
1980,2026,2304,Weller Funeral Home,Arlington,WA,,FALSE
1980,2026,2306,Westford Funeral Home Inc,Bellingham,WA,,FALSE
1980,2026,2307,Whiteside Family Mortuaries ,Aberdeen,WA,,FALSE
1980,2026,2308,Whiteside Family Mortuaries,Elma,WA,,FALSE
1980,2026,2311,Woodland Funeral Home,Woodland,WA,,FALSE
1980,2026,2312,Woodlawn Funeral Home,Lacey,WA,,FALSE
1980,2026,2313,Weeks' Enumclaw Funeral Home,Enumclaw,WA,,FALSE
1980,2026,2314,Weeks' Funeral Home,Buckley,WA,,FALSE
1980,2026,2320,Whatcom Cremation & Funeral,Bellingham,WA,,FALSE
1980,2026,2321,Whidbey Memorial Funeral & Cremation Service Inc,Oak Harbor,WA,,FALSE
1980,2026,2322,Wallin-Stucky Funeral Home,Oak Harbor,WA,,FALSE
1980,2026,2501,Yahn & Son Funeral Home and Crematory,Auburn,WA,,FALSE
1980,2026,3025,Cheney Funeral Chapel,Cheney,WA,,FALSE
1980,2026,3028,Columbia Memorial Chapel,Pasco,WA,,FALSE
1980,2026,3040,Columbia Hills Memorial Chapel,Goldendale,WA,,FALSE
1980,2026,3153,Visser Funeral Home,Langley,WA,,FALSE
1980,2026,3195,Johnston & Williams Funeral Home and Crematory,Ellensburg,WA,,FALSE
1980,2026,3199,Mueller's Chapel of the Falls,Kennewick,WA,,FALSE
1980,2026,3203,Luray Mortuary Services,Tacoma ,WA,,FALSE
1980,2026,3204,San Juan County Prosecutors/Coroner Office Acting As Funeral Home,Friday Harbor,WA,,FALSE
1980,2026,3205,"Town and Country Transport Group, Inc.",Spokane,WA,,FALSE
1980,2026,3206,Inland Mortuary Services,Spokane,WA,,FALSE
1980,2026,3207,Pacific Mortuary Services,Pacific,WA,,FALSE
1980,2026,3207,Advantage Funeral & Cremation Services South Hill,Spokane,WA,,FALSE
1980,2026,3207,Wallin-Stucky Funeral Home Freeland,Freeland,WA,,FALSE
1980,2026,3208,ezCremate.com,Tri-Cities,WA,,FALSE
1980,2026,3208,Thurston County Coroner Acting As  Funeral Home,Tumwater,WA,,FALSE
1980,2026,3209,Clark County Crematory,Vancouver,WA,,FALSE
1980,2026,3211,Heavenly Memorials,Kent,WA,,FALSE
1980,2026,3212,Premier Mortuary Service,Everett,WA,,FALSE
1980,2026,3213,A Life Remembered,Tacoma,WA,,FALSE
1980,2026,3214,Western Cremation Alliance,Seattle,WA,,FALSE
1980,2026,3215,Tulip Cremation,Seattle,WA,,FALSE
1980,2026,3217,Simplicity Cremation ,Poulsbo,WA,,FALSE
1980,2026,3218,Scanlin Cremation and Burial,UNIVERSITY PLACE,WA,,FALSE
1980,2026,3219,Hospital Acting As a Funeral Home,Tumwater ,WA,,FALSE
1980,2026,3220,Tulip Cremation,Federal Way,WA,,FALSE
1980,2026,3221,"Recompose, PBC",Seattle,WA,,FALSE
1980,2026,3222,Cremation Plus,Puyallup,WA,,FALSE
1980,2026,3223,All County Cremation and Burial Service,Everett,WA,,FALSE
1980,2026,3224,Dignified Assurance Plannng,Spokane Valley,WA,,FALSE
1980,2026,4000,Attrell's Funeral Chapels,Newberg,OR,,FALSE
1980,2026,4001,Bateman Carroll Funeral Home,Gresham,OR,,FALSE
1980,2026,4002,Burns Mortuary of Pendleton,Pendleton,OR,,FALSE
1980,2026,4003,"Caldwell's, Hennessey, Goetsch & McGee Funeral Home",Portland,OR,,FALSE
1980,2026,4004,Gateway Little Chapel of the Chimes,Portland,OR,,FALSE
1980,2026,4006,Finley - Sunset Hills Mortuary,Portland,OR,,FALSE
1980,2026,4008,Heritage Memorial,Portland,OR,,FALSE
1980,2026,4009,Holman's Funeral & Cremation Service,Portland,OR,,FALSE
1980,2026,4012,Omega Funeral & Cremation Service,Portland,OR,,FALSE
1980,2026,4015,Zeller Chapel of Roses,Portland,OR,,FALSE
1980,2026,4016,Munselle-Rhodes Funeral Home,Milton-Freewater,OR,,FALSE
1980,2026,4022,"Crown Memorial Center, Cremation & Burial - Portland",Portland,OR,,FALSE
1980,2026,4024,Caldwell's Luce-Layton Mortuary,Astoria,OR,,FALSE
1980,2026,4027,Macy and Son Funeral Directors,McMinnville,OR,,FALSE
1980,2026,4030,Sandy Funeral Home,Sandy,OR,,FALSE
1980,2026,4033,Burns Mortuary of Hermiston,Hermiston ,OR,,FALSE
1980,2026,4036,Skyline Memorial Gardens Funeral Home,Portland,OR,,FALSE
1980,2026,4037,Pegg Paxson and Springer Funeral Chapel,Beavertron,OR,,FALSE
1980,2026,4041,Pendleton Pioneer Chapel Folsom-Bishop,Pendleton,OR,,FALSE
1980,2026,4042,Anderson's Tribute Center,Hood River,OR,,FALSE
